#KSL
ID	Taxon	Gloss	GlossID	Orthography	IPA	Tokens	CogID
44	German	back	6	Rücken	rykən	r y k ə n	365
45	Hawaiian	back	6	kua	kua	k u a	372
46	Latin	back	6	tergum	tergo	t e r g o	371
47	Navajo	back	6	'anághah	nayɣah	n ay ɣ a h	370
48	Turkish	back	6	arka	arka	a r k a	368
#
49	Albanian	bad	7	keq	kec	k e c	-281
50	English	bad	7	bad	bad	b a d	279
51	French	bad	7	mauvais	mɔvɛz	m ɔ v ɛ z	278
52	German	bad	7	schlecht	ʃlext	ʃ l e x t	277
53	Hawaiian	bad	7	`ino	ʔino	ʔ i n o	283
54	Latin	bad	7	malus	malo	m a l o	278
55	Navajo	bad	7	doo yá'áshǫ́ǫ da	jayʔayʃõõ	j ay ʔ ay ʃ õ õ	282
56	Turkish	bad	7	kötü	køty	k ø t y	-280
#
57	Albanian	bark	8	shkëlbozë	ʃkəlboz	ʃ k ə l b o z	413
58	English	bark	8	bark	bɑrk	b ɑ r k	-411
59	French	bark	8	écorce	ekɔrs	e k ɔ r s	410
60	German	bark	8	Rinde	rində	r i n d ə	409
61	Hawaiian	bark	8	`ili	ʔili	ʔ i l i	415
62	Latin	bark	8	cortex	kortik	k o r t i k	410
63	Navajo	bark	8	'akásht'óózh	kayʃtˀoːʒ	k ay ʃ tˀ oː ʒ	414
64	Turkish	bark	8	kabuk	kabuk	k a b u k	412
#
65	Albanian	because	9	sepse	sepse	s e p s e	336
66	English	because	9	because	bəkɔz	b ə k ɔ z	-337
67	French	because	9	parce que	pars	p a r s	336
68	German	because	9	weil	vail	v ai l	335
69	Hawaiian	because	9	ā mea	aːmea	aː m e a	341
70	Latin	because	9	quod	kwod	kw o d	340
71	Navajo	because	9	háálá	haːlay	h aː l ay	339
72	Turkish	because	9	çünkü	ʧynky	ʧ y n k y	338
#
73	Albanian	belly	10	bark	bark	b a r k	1012
74	English	belly	10	belly	bɛli	b ɛ l i	1010
75	French	belly	10	ventre	vɑ̃tr	v ɑ̃ t r	1009
76	German	belly	10	Bauch	baux	b au x	1008
77	Hawaiian	belly	10	`ōpū	ʔoːpuː	ʔ oː p uː	1014
78	Latin	belly	10	venter	wentr	w e n t r	1009
79	Navajo	belly	10	'abid	bid	b i d	1013
80	Turkish	belly	10	karın	karn	k a r n	1011
#
81	Albanian	big	11	madh	mað	m a ð	198
82	English	big	11	big	bɪg	b ɪ g	196
83	French	big	11	grand	grɑ̃d	g r ɑ̃ d	195
84	German	big	11	groß	groːs	g r oː s	194
85	Hawaiian	big	11	nui	nui	n u i	200
86	Latin	big	11	magnus	magno	m a g n o	198
87	Navajo	big	11	'áníƚtso	ʔayniɬʦo	ʔ ay n i ɬ ʦ o	199
88	Turkish	big	11	büyük	byjyk	b y j y k	197
#
89	Albanian	bird	12	zog	zog	z o g	-482
90	English	bird	12	bird	bərd	b ə r d	480
91	French	bird	12	oiseau	wazo	w a z o	479
92	German	bird	12	Vogel	foːgəl	f oː g ə l	478
93	Hawaiian	bird	12	manu	manu	m a n u	484
94	Latin	bird	12	avis	awi	a w i	479
95	Navajo	bird	12	tsídii	ʦidiː	ʦ i d iː	483
96	Turkish	bird	12	kuş	kuʃ	k u ʃ	481
#
97	Albanian	bite	13	kafshon	kafʃo	k a f ʃ o	714
98	English	bite	13	bites	bait	b ai t	711
99	French	bite	13	mord	mɔr	m ɔ r	712
100	German	bite	13	beißt	bais	b ai s	711
101	Hawaiian	bite	13	nahu	nahu	n a h u	716
102	Latin	bite	13	mordet	mordeː	m o r d eː	712
103	Navajo	bite	13	'aháshháásh	ʔahayɬhaːʃ	ʔ a h ay ɬ h aː ʃ	715
104	Turkish	bite	13	ısırıyor	ɯsɯr	ɯ s ɯ r	713
#
105	Albanian	black	14	zi	zez	z e z	133
106	English	black	14	black	blak	b l a k	131
107	French	black	14	noir	nwar	n w a r	130
108	German	black	14	schwarz	ʃvarʦ	ʃ v a r ʦ	129
109	Hawaiian	black	14	`ele`ele	ʔeleʔele	ʔ e l e ʔ e l e	136
110	Latin	black	14	ater	aːtro	aː t r o	135
111	Navajo	black	14	ƚizhin	ɬiʒin	ɬ i ʒ i n	134
112	Turkish	black	14	kara	kara	k a r a	132
#
113	Albanian	blood	15	gjak	ɟakr	ɟ a k r	1115
114	English	blood	15	blood	bləd	b l ə d	1112
115	French	blood	15	sang	sɑ̃	s ɑ̃	1113
116	German	blood	15	Blut	bluːt	b l uː t	1112
117	Hawaiian	blood	15	koko	koko	k o k o	1117
118	Latin	blood	15	sanguis	sangwin	s a n gw i n	1113
119	Navajo	blood	15	diƚ	diɬ	d i ɬ	1116
120	Turkish	blood	15	kan	kan	k a n	1114
#
121	Albanian	blow	16	fryn	fry	f r y	81
122	English	blow	16	blows	blo	b l o	78
123	French	blow	16	vente	vɑ̃te	v ɑ̃ t e	79
124	German	blow	16	bläst	blaːz	b l aː z	78
125	Hawaiian	blow	16	puhi	puhi	p u h i	83
126	Latin	blow	16	flat	flaː	f l aː	78
127	Navajo	blow	16	ních'i	niʧˀi	n i ʧˀ i	82
128	Turkish	blow	16	esiyor	es	e s	80
#
129	Albanian	bone	17	kockë	koʦk	k o ʦ k	608
130	English	bone	17	bone	bon	b o n	606
131	French	bone	17	os	ɔs	ɔ s	605
132	German	bone	17	Knochen	knoxən	k n o x ə n	604
133	Hawaiian	bone	17	iwi	iwi	i w i	610
134	Latin	bone	17	os	oss	o s s	605
135	Navajo	bone	17	ts'in	ʦˀin	ʦˀ i n	609
136	Turkish	bone	17	kemik	kemik	k e m i k	607
#
137	Albanian	breast	18	gji	ɟir	ɟ i r	208
138	English	breast	18	breast	brɛst	b r ɛ s t	205
139	French	breast	18	sein	sɛ̃	s ɛ̃	206
140	German	breast	18	Brust	brust	b r u s t	205
141	Hawaiian	breast	18	ū	uː	uː	211
142	Latin	breast	18	mamma	mamːa	m a mː a	210
143	Navajo	breast	18	'abe'	beʔ	b e ʔ	209
144	Turkish	breast	18	meme	meme	m e m e	207
#
145	Albanian	breathe	19	marr frymë	frym	f r y m	755
146	English	breathe	19	breathes	brið	b r i ð	753
147	French	breathe	19	respire	rɛspire	r ɛ s p i r e	-752
148	German	breathe	19	atmet	aːtm	aː t m	751
149	Hawaiian	breathe	19	hanu	hanu	h a n u	757
150	Latin	breathe	19	spirat	spiːraː	s p iː r aː	752
151	Navajo	breathe	19	ńdísdzih	ńdiʣih	ń d i ʣ i h	756
152	Turkish	breathe	19	nefes alıyor	nefes	n e f e s	-754
#
153	Albanian	burn	20	digjet	diɟ	d i ɟ	516
154	English	burn	20	burns	bərn	b ə r n	514
155	French	burn	20	brûle	bryle	b r y l e	-514
156	German	burn	20	brennt	bren	b r e n	514
157	Hawaiian	burn	20	`ā	ʔaː	ʔ aː	519
158	Latin	burn	20	ardet	aːrdeː	aː r d eː	518
159	Navajo	burn	20	diltƚi'	diltˡiʔ	d i l tˡ i ʔ	517
160	Turkish	burn	20	yanıyor	jan	j a n	515
#
161	Albanian	child	21	fëmiljë	fəmiʎ	f ə m i ʎ	-804
162	English	child	21	child	ʧaild	ʧ ai l d	802
163	French	child	21	enfant	ɑ̃fɑ̃t	ɑ̃ f ɑ̃ t	801
164	German	child	21	Kind	kind	k i n d	800
165	Hawaiian	child	21	keiki	keiki	k e i k i	807
166	Latin	child	21	puer	puer	p u e r	806
167	Navajo	child	21	'ashkii	ʔʃkiː	ʔ ʃ k iː	805
168	Turkish	child	21	çocuk	ʧoʤuk	ʧ o ʤ u k	803
#
169	Albanian	claw	22	thua	θon	θ o n	304
170	English	claw	22	claw	klɔ	k l ɔ	301
171	French	claw	22	griffe	grif	g r i f	-302
172	German	claw	22	Klaue	klauə	k l au ə	301
173	Hawaiian	claw	22	miki`ao	mikiʔao	m i k i ʔ a o	307
174	Latin	claw	22	unguis	ungwi	u n gw i	306
175	Navajo	claw	22	'akéshgaan	keʃgaː	k e ʃ g aː	305
176	Turkish	claw	22	tırnak	tɯrnak	t ɯ r n a k	303
#
177	Albanian	cloud	23	re	re	r e	698
178	English	cloud	23	cloud	klaud	k l au d	696
179	French	cloud	23	nuage	nɥaʒ	n ɥ a ʒ	695
180	German	cloud	23	Wolke	volkə	v o l k ə	694
181	Hawaiian	cloud	23	ao	ao	a o	700
182	Latin	cloud	23	nubes	nuːbeː	n uː b eː	695
183	Navajo	cloud	23	k'os	kˀos	kˀ o s	699
184	Turkish	cloud	23	bulut	bulut	b u l u t	697
#
185	Albanian	cold	24	ftohët	ftohət	f t o h ə t	75
186	English	cold	24	cold	kold	k o l d	72
187	French	cold	24	froid	frwad	f r w a d	73
188	German	cold	24	kalt	kalt	k a l t	72
189	Hawaiian	cold	24	anu	anu	a n u	77
190	Latin	cold	24	frigidus	friːgido	f r iː g i d o	73
191	Navajo	cold	24	sik'az	sikˀaz	s i kˀ a z	76
192	Turkish	cold	24	soğuk	soɣuk	s o ɣ u k	74
#
193	Albanian	come	25	vjen	vjen	v j e n	-560
194	English	come	25	comes	kəm	k ə m	560
195	French	come	25	vient	vjɛ̃	v j ɛ̃	560
196	German	come	25	kommt	kom	k o m	560
197	Hawaiian	come	25	hele mai	hele	h e l e	563
198	Latin	come	25	venit	weniː	w e n iː	560
199	Navajo	come	25	yíghááh	jiɣaːh	j i ɣ aː h	562
200	Turkish	come	25	geliyor	gel	g e l	561
#
201	Albanian	count	26	numëron	numəruar	n u m ə r u a r	-164
202	English	count	26	counts	kaunt	k au n t	-162
203	French	count	26	compte	kɔ̃te	k ɔ̃ t e	162
204	German	count	26	zählt	ʦeːl	ʦ eː l	161
205	Hawaiian	count	26	helu	helu	h e l u	166
206	Latin	count	26	numerat	numeraː	n u m e r aː	164
207	Navajo	count	26	'ííníshta'	iːniɬtaʔ	iː n i ɬ t a ʔ	165
208	Turkish	count	26	sayıyor	saj	s a j	163
#
209	Albanian	cut	27	pres	pres	p r e s	88
210	English	cut	27	cuts	kət	k ə t	-86
211	French	cut	27	coupe	kupe	k u p e	-85
212	German	cut	27	schneidet	ʃnaid	ʃ n ai d	84
213	Hawaiian	cut	27	`oki	ʔoki	ʔ o k i	91
214	Latin	cut	27	secat	sekaː	s e k aː	90
215	Navajo	cut	27	'aháshgéésh	ʔahaygeːʃ	ʔ a h ay g eː ʃ	89
216	Turkish	cut	27	kesiyor	kes	k e s	87
#
217	Albanian	day	28	ditë	dit	d i t	241
218	English	day	28	day	de	d e	238
219	French	day	28	jour	ʒur	ʒ u r	239
220	German	day	28	Tag	taːg	t aː g	238
221	Hawaiian	day	28	lā	laː	l aː	243
222	Latin	day	28	dies	dieː	d i eː	239
223	Navajo	day	28	jį́	ʤĩ́	ʤ ĩ́	242
224	Turkish	day	28	gün	gyn	g y n	240
#
225	Albanian	die	29	vdes	vdes	v d e s	260
226	English	die	29	dies	dai	d ai	-258
227	French	die	29	meurt	mœr	m œ r	257
228	German	die	29	stirbt	ʃterb	ʃ t e r b	256
229	Hawaiian	die	29	make loa	make	m a k e	262
230	Latin	die	29	moritur	moriː	m o r iː	257
231	Navajo	die	29	daaztsą́	daːzʦã́	d aː z ʦ ã́	261
232	Turkish	die	29	ölüyor	øl	ø l	259
#
233	Albanian	dig	30	gërmon	gərmo	g ə r m o	543
234	English	dig	30	digs	dɪg	d ɪ g	-541
235	French	dig	30	creuse	krøze	k r ø z e	-540
236	German	dig	30	gräbt	graːb	g r aː b	539
237	Hawaiian	dig	30	`eli	ʔeli	ʔ e l i	546
238	Latin	dig	30	fodit	fode	f o d e	545
239	Navajo	dig	30	hahashgééd	hahageːd	h a h a g eː d	544
240	Turkish	dig	30	kazıyor	kaz	k a z	542
#
241	Albanian	dirty	31	ndyrë	ndyr	n d y r	900
242	English	dirty	31	dirty	dərti	d ə r t i	-898
243	French	dirty	31	sale	sal	s a l	-897
244	German	dirty	31	schmutzig	ʃmuʦix	ʃ m u ʦ i x	896
245	Hawaiian	dirty	31	lepo	lepo	l e p o	903
246	Latin	dirty	31	sordidus	sordido	s o r d i d o	902
247	Navajo	dirty	31	baa'ih	baːʔih	b aː ʔ i h	901
248	Turkish	dirty	31	pis	pis	p i s	-899
#
249	Albanian	dog	32	qen	cen	c e n	-1181
250	English	dog	32	dog	dɑg	d ɑ g	1182
251	French	dog	32	chien	ʃjɛn	ʃ j ɛ n	1181
252	German	dog	32	Hund	hund	h u n d	1181
253	Hawaiian	dog	32	`īlio	ʔiːlio	ʔ iː l i o	1185
254	Latin	dog	32	canis	kani	k a n i	1181
255	Navajo	dog	32	ƚééchąą'í	ɬeːʧãːʔi	ɬ eː ʧ ãː ʔ       i	1184
256	Turkish	dog	32	köpek	køpek	k ø p e k	1183
#
257	Albanian	drink	33	pi	pi	p i	1079
258	English	drink	33	drinks	drɪŋk	d r ɪ ŋ k	1078
259	French	drink	33	bois	bwa	b w a	1079
260	German	drink	33	trinkt	triŋk	t r i ŋ k	1078
261	Hawaiian	drink	33	inu	inu	i n u	1082
262	Latin	drink	33	bibit	bibe	b i b e	1079
263	Navajo	drink	33	'adlą́	ʔadˡã́	ʔ a dˡ ã́	1081
264	Turkish	drink	33	içiyor	iʧ	i ʧ	1080
#
265	Albanian	dry	34	thatë	θat	θ a t	575
266	English	dry	34	dry	drai	d r ai	572
267	French	dry	34	sec	sɛʃ	s ɛ ʃ	573
268	German	dry	34	trocken	trokən	t r o k ə n	572
269	Hawaiian	dry	34	malo`o	maloʔo	m a l o ʔ o	577
270	Latin	dry	34	siccus	sikːo	s i kː o	573
271	Navajo	dry	34	yíƚtseii	jiɬʦeiː	j i ɬ ʦ e iː	576
272	Turkish	dry	34	kuru	kuru	k u r u	574
#
273	Albanian	dull	35	pa mprehtë	mpreht	m p r e h t	823
274	English	dull	35	dull	dəl	d ə l	821
275	French	dull	35	émoussé	emuse	e m u s e	820
276	German	dull	35	stumpf	ʃtump͡f	ʃ t u m p͡f	819
277	Hawaiian	dull	35	kūmūmū	kuːmuːmuː	k uː m uː m uː	826
278	Latin	dull	35	hebes	hebet	h e b e t	825
279	Navajo	dull	35	doo deení da	deːni	d eː n i	824
280	Turkish	dull	35	kör	kør	k ø r	-822
#
281	Albanian	dust	36	pluhur	pluhur	p l u h u r	1122
282	English	dust	36	dust	dəst	d ə s t	1120
283	French	dust	36	poussière	pusjɛr	p u s j ɛ r	1119
284	German	dust	36	Staub	ʃtaub	ʃ t au b	1118
285	Hawaiian	dust	36	`ehu	ʔehu	ʔ e h u	1124
286	Latin	dust	36	pulvis	pulwis	p u l w i s	1119
287	Navajo	dust	36	ƚeezh	ɬeːʒ	ɬ eː ʒ	1123
288	Turkish	dust	36	toz	toz	t o z	1121
#
289	Albanian	ear	37	vesh	veʃ	v e ʃ	438
290	English	ear	37	ear	ɪr	ɪ r	438
291	French	ear	37	oreille	ɔrɛj	ɔ r ɛ j	438
292	German	ear	37	Ohr	oːr	oː r	438
293	Hawaiian	ear	37	pepeiao	pepeiao	p e p e i a o	441
294	Latin	ear	37	auris	auri	au r i	438
295	Navajo	ear	37	'ajaa'	ʤaːʔ	ʤ aː ʔ	440
296	Turkish	ear	37	kulak	kulak	k u l a k	439
#
297	Albanian	earth	38	dhe	ðer	ð e r	69
298	English	earth	38	earth	ərθ	ə r θ	66
299	French	earth	38	terre	tɛr	t ɛ r	67
300	German	earth	38	Erde	eːrdə	eː r d ə	66
301	Hawaiian	earth	38	lepo	lepo	l e p o	71
302	Latin	earth	38	terra	terːa	t e rː a	67
303	Navajo	earth	38	ƚeezh	ɬeːʒ	ɬ eː ʒ	70
304	Turkish	earth	38	toprak	toprak	t o p r a k	68
#
305	Albanian	eat	39	ha	ha	h a	119
306	English	eat	39	eats	it	i t	116
307	French	eat	39	mange	mɑ̃ʒe	m ɑ̃ ʒ e	117
308	German	eat	39	ißt	es	e s	116
309	Hawaiian	eat	39	`ai	ʔai	ʔ a i	121
310	Latin	eat	39	edit	ede	e d e	116
311	Navajo	eat	39	'ayą́	ʔajã́	ʔ a j ã́	120
312	Turkish	eat	39	yiyor	je	j e	118
#
313	Albanian	egg	40	vezë	vez	v e z	1222
314	English	egg	40	egg	ɛg	ɛ g	-1222
315	French	egg	40	œuf	œf	œ f	1222
316	German	egg	40	Ei	ai	ai	1222
317	Hawaiian	egg	40	hua	hua	h u a	1225
318	Latin	egg	40	ovom	oːwo	oː w o	1222
319	Navajo	egg	40	'ayęęzhii	jẽːʒiː	j ẽː ʒ iː	1224
320	Turkish	egg	40	yumurta	jumurta	j u m u r t a	1223
#
321	Albanian	eye	41	sy	syr	s y r	708
322	English	eye	41	eye	ai	ai	706
323	French	eye	41	œil	œj	œ j	706
324	German	eye	41	Auge	augə	au g ə	706
325	Hawaiian	eye	41	maka	maka	m a k a	710
326	Latin	eye	41	oculus	okulo	o k u l o	706
327	Navajo	eye	41	'anáá'	naːʔ	n aː ʔ	709
328	Turkish	eye	41	göz	gøz	g ø z	707
#
329	Albanian	fall	42	bie	bie	b i e	223
330	English	fall	42	falls	fɔl	f ɔ l	220
331	French	fall	42	tombe	tɔ̃be	t ɔ̃ b e	-221
332	German	fall	42	fällt	fal	f a l	220
333	Hawaiian	fall	42	hina	hina	h i n a	226
334	Latin	fall	42	cadit	kade	k a d e	225
335	Navajo	fall	42	naashtƚíísh	naːtˡiːʃ	n aː tˡ iː ʃ	224
336	Turkish	fall	42	düşüyor	dyʃ	d y ʃ	222
#
337	Albanian	far	43	larg	larg	l a r g	-191
338	English	far	43	far	fɑr	f ɑ r	188
339	French	far	43	loin	lwɛ̃	l w ɛ̃	189
340	German	far	43	fern	fern	f e r n	188
341	Hawaiian	far	43	mamao	mamao	m a m a o	193
342	Latin	far	43	procul	prokul	p r o k u l	188
343	Navajo	far	43	nízahgóó	nizah	n i z a h	192
344	Turkish	far	43	uzak	uzak	u z a k	190
#
345	Albanian	father	44	babë	babə	b a b ə	-107
346	English	father	44	father	fɑðər	f ɑ ð ə r	106
347	French	father	44	père	pɛr	p ɛ r	106
348	German	father	44	Vater	faːtər	f aː t ə r	106
349	Hawaiian	father	44	makua kāne	makuakaːne	m a k u a k aː n e	109
350	Latin	father	44	pater	patr	p a t r	106
351	Navajo	father	44	'ataa'	taːʔ	t aː ʔ	108
352	Turkish	father	44	baba	baba	b a b a	107
#
353	Albanian	feather	45	pendë	pend	p e n d	748
354	English	feather	45	feather	fɛðər	f ɛ ð ə r	745
355	French	feather	45	plume	plym	p l y m	746
356	German	feather	45	Feder	feːdər	f eː d ə r	745
357	Hawaiian	feather	45	hulu	hulu	h u l u	750
358	Latin	feather	45	penna	penːa	p e nː a	745
359	Navajo	feather	45	'at'a'	tˀaʔ	tˀ a ʔ	749
360	Turkish	feather	45	tüy	tyj	t y j	747
#
361	Albanian	few	46	pak	pak	p a k	-741
362	English	few	46	few	fju	f j u	741
363	French	few	46	peu de	pø	p ø	741
364	German	few	46	wenige	veːnig	v eː n i g	740
365	Hawaiian	few	46	kaka`ikahi	kakaʔikahi	k a k a ʔ i k a h i	744
366	Latin	few	46	pauci	pauko	p au k o	741
367	Navajo	few	46	t'áá díkwíí	dikwiː	d i k w iː	743
368	Turkish	few	46	az	az	a z	742
#
369	Albanian	fight	47	lufton	lufto	l u f t o	-736
370	English	fight	47	fights	fait	f ai t	734
371	French	fight	47	bat	bat	b a t	733
372	German	fight	47	kämpft	kamp͡f	k a m p͡f	-732
373	Hawaiian	fight	47	hakakā	hakakaː	h a k a k aː	739
374	Latin	fight	47	pugnat	pugnaː	p u g n aː	738
375	Navajo	fight	47	'ahishgą́	ʔahigã́	ʔ a h i g ã́	737
376	Turkish	fight	47	dövüşüyor	døvyʃ	d ø v y ʃ	735
#
377	Albanian	fire	48	zjarr	zjarː	z j a rː	782
378	English	fire	48	fire	faiər	f ai ə r	779
379	French	fire	48	feu	fø	f ø	780
380	German	fire	48	Feuer	foiər	f oi ə r	779
381	Hawaiian	fire	48	ahi	ahi	a h i	785
382	Latin	fire	48	ignis	igni	i g n i	784
383	Navajo	fire	48	kǫ'	kõʔ	k õ ʔ	783
384	Turkish	fire	48	ateş	ateʃ	a t e ʃ	-781
#
385	Albanian	fish	49	peshk	peʃk	p e ʃ k	-353
386	English	fish	49	fish	fɪʃ	f ɪ ʃ	353
387	French	fish	49	poisson	pwasɔ̃	p w a s ɔ̃	353
388	German	fish	49	Fisch	fiʃ	f i ʃ	353
389	Hawaiian	fish	49	i`a	iʔa	i ʔ a	356
390	Latin	fish	49	piscis	piski	p i s k i	353
391	Navajo	fish	49	ƚóó'	ɬoːʔ	ɬ oː ʔ	355
392	Turkish	fish	49	balık	balɯk	b a l ɯ k	354
#
393	Albanian	five	50	pesë	pesə	p e s ə	201
394	English	five	50	five	faiv	f ai v	201
395	French	five	50	cinq	sɛ̃k	s ɛ̃ k	201
396	German	five	50	fünf	fynf	f y n f	201
397	Hawaiian	five	50	lima	lima	l i m a	204
398	Latin	five	50	quinque	kwiːnkwe	kw iː n kw e	201
399	Navajo	five	50	'ashdla'	ʔaʃdˡaʔ	ʔ a ʃ dˡ a ʔ	203
400	Turkish	five	50	beş	beʃ	b e ʃ	202
#
401	Albanian	flow	51	rrjedh	rːeð	rː e ð	1177
402	English	flow	51	flows	flo	f l o	1174
403	French	flow	51	coule	kule	k u l e	1175
404	German	flow	51	fließt	fliːs	f l iː s	1174
405	Hawaiian	flow	51	kahe	kahe	k a h e	1180
406	Latin	flow	51	fluit	flue	f l u e	1179
407	Navajo	flow	51	yígeeh	jigeːh	j i g eː h	1178
408	Turkish	flow	51	akıyor	ak	a k	1176
#
409	Albanian	flower	52	lule	lul	l u l	-423
410	English	flower	52	flower	flauər	f l au ə r	-421
411	French	flower	52	fleur	flœr	f l œ r	421
412	German	flower	52	Blume	bluːm	b l uː m	421
413	Hawaiian	flower	52	pua	pua	p u a	425
414	Latin	flower	52	flos	floːs	f l oː s	421
415	Navajo	flower	52	ch'ilátah hózhóón	ʧˀilaytah	ʧˀ i l ay t a h	424
416	Turkish	flower	52	çiçek	ʧiʧek	ʧ i ʧ e k	422
#
417	Albanian	fly	53	fluturon	fluturo	f l u t u r o	844
418	English	fly	53	flies	flai	f l ai	841
419	French	fly	53	vole	vɔle	v ɔ l e	842
420	German	fly	53	fliegt	fliːg	f l iː g	841
421	Hawaiian	fly	53	lele	lele	l e l e	846
422	Latin	fly	53	volat	wolaː	w o l aː	842
423	Navajo	fly	53	yit'ah	jitˀah	j i tˀ a h	845
424	Turkish	fly	53	uçuyor	uʧ	u ʧ	843
#
425	Albanian	fog	54	mjegull	mjeguł	m j e g u ł	470
426	English	fog	54	fog	fɑg	f ɑ g	-468
427	French	fog	54	brouillard	brujar	b r u j a r	-467
428	German	fog	54	Nebel	neːbəl	n eː b ə l	466
429	Hawaiian	fog	54	`ohu	ʔohu	ʔ o h u	472
430	Latin	fog	54	nebula	nebula	n e b u l a	466
431	Navajo	fog	54	'áhí	ayhi	ay h i	471
432	Turkish	fog	54	sis	sis	s i s	469
#
433	Albanian	foot	55	këmbë	kəmb	k ə m b	-229
434	English	foot	55	foot	fʊt	f ʊ t	227
435	French	foot	55	pied	pje	p j e	227
436	German	foot	55	Fuß	fuːs	f uː s	227
437	Hawaiian	foot	55	wāwae	waːwae	w aː w a e	231
438	Latin	foot	55	pes	ped	p e d	227
439	Navajo	foot	55	'akee'	keːʔ	k eː ʔ	230
440	Turkish	foot	55	ayak	ajak	a j a k	228
#
441	Albanian	four	56	katër	katər	k a t ə r	20
442	English	four	56	four	fɔr	f ɔ r	20
443	French	four	56	quatre	katr	k a t r	20
444	German	four	56	vier	fiːr	f iː r	20
445	Hawaiian	four	56	hā	haː	h aː	23
446	Latin	four	56	quattuor	kwatːuor	kw a tː u o r	20
447	Navajo	four	56	dį́į́'	dĩːʔ	d ĩː ʔ	22
448	Turkish	four	56	dört	dørt	d ø r t	21
#
449	Albanian	freeze	57	ngrin	ngri	n g r i	376
450	English	freeze	57	freezes	friz	f r i z	373
451	French	freeze	57	gèle	ʒɛle	ʒ ɛ l e	374
452	German	freeze	57	friert	friːr	f r iː r	373
453	Hawaiian	freeze	57	ho`opa`a i ka hau	hoʔopaʔa	h o ʔ o p a ʔ a	378
454	Latin	freeze	57	gelat	gelaː	g e l aː	374
455	Navajo	freeze	57	yishtin	jiʃtin	j i ʃ t i n	377
456	Turkish	freeze	57	donuyor	don	d o n	375
#
457	Albanian	fruit	58	pemë	pem	p e m	-1102
458	English	fruit	58	fruit	frut	f r u t	-1100
459	French	fruit	58	fruit	frɥi	f r ɥ i	1100
460	German	fruit	58	Frucht	fruxt	f r u x t	-1100
461	Hawaiian	fruit	58	hua	hua	h u a	1104
462	Latin	fruit	58	pomum	poːmo	p oː m o	1102
463	Navajo	fruit	58	bineest'ą'	bineːstˀãʔ	b i n eː s tˀ ã ʔ	1103
464	Turkish	fruit	58	meyva	mejva	m e j v a	-1101
#
465	Albanian	full	59	plotë	plot	p l o t	503
466	English	full	59	full	fʊl	f ʊ l	503
467	French	full	59	plein	plɛn	p l ɛ n	503
468	German	full	59	voll	fol	f o l	503
469	Hawaiian	full	59	piha	piha	p i h a	506
470	Latin	full	59	plenus	pleːno	p l eː n o	503
471	Navajo	full	59	hadeezbin	hadibin	h a d i b i n	505
472	Turkish	full	59	dolu	dolu	d o l u	504
#
473	Albanian	give	60	jep	jep	j e p	936
474	English	give	60	gives	gɪv	g ɪ v	-933
475	French	give	60	donne	dɔne	d ɔ n e	934
476	German	give	60	gibt	geːb	g eː b	933
